season,sel,market,profit
2023,over,rush_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,anytime_td,-1.0
2023,over,receptions,-1.0
2023,over,rush_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,receptions,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,receptions,-1.0
2023,over,reception_yards,-1.0
2023,over,anytime_td,4.8
2023,under,receptions,4.6
2023,under,reception_yards,-1.0
2023,over,anytime_td,-1.0
2023,over,pass_yards,-1.0
2023,over,receptions,-1.0
2023,over,pass_tds,-1.0
2023,over,reception_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,receptions,-1.0
2023,over,reception_yards,-1.0
2023,under,reception_yards,4.0
2023,over,anytime_td,-1.0
2023,over,rush_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,receptions,-1.0
2023,over,receptions,-1.0
2023,over,rush_yards,3.75
2023,over,rush_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,receptions,-1.0
2023,under,pass_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,anytime_td,-1.0
2023,over,receptions,-1.0
2023,over,receptions,-1.0
2023,over,reception_yards,-1.0
2023,over,pass_yards,-1.0
2023,over,reception_yards,3.35
2023,under,rush_yards,-1.0
2023,over,reception_yards,-1.0
2023,under,rush_yards,-1.0
2023,over,rush_yards,3.2
2023,over,reception_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,3.0
2023,over,anytime_td,-1.0
2023,over,rush_yards,-1.0
2023,over,receptions,-1.0
2023,over,receptions,-1.0
2023,under,receptions,2.9
2023,over,receptions,-1.0
2023,under,rush_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,anytime_td,-1.0
2023,over,rush_yards,-1.0
2023,under,pass_completions,-1.0
2023,over,pass_completions,-1.0
2023,under,reception_yards,-1.0
2023,under,rush_yards,-1.0
2023,under,pass_yards,2.4
2023,over,reception_yards,-1.0
2023,under,reception_yards,2.4
2023,under,receptions,-1.0
2023,over,reception_yards,2.35
2023,over,pass_yards,-1.0
2023,under,pass_completions,-1.0
2023,over,receptions,2.25
2023,over,reception_yards,-1.0
2023,under,reception_yards,2.2
2023,under,receptions,-1.0
2023,over,receptions,2.1
2023,under,receptions,-1.0
2023,over,receptions,-1.0
2023,over,anytime_td,2.0
2023,over,reception_yards,2.0
2023,over,reception_yards,-1.0
2023,over,rush_yards,-1.0
2023,under,receptions,1.95
2023,over,rush_yards,-1.0
2023,over,pass_tds,-1.0
2023,over,receptions,-1.0
2023,over,anytime_td,1.85
2023,over,anytime_td,-1.0
2023,over,rush_yards,1.8
2023,over,rush_yards,1.8
2023,over,pass_yards,-1.0
2023,over,pass_completions,-1.0
2023,under,pass_yards,-1.0
2023,over,receptions,-1.0
2023,under,rush_yards,-1.0
2023,over,receptions,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,1.7
2023,under,receptions,1.7
2023,over,receptions,-1.0
2023,over,anytime_td,1.65
2023,over,reception_yards,-1.0
2023,under,reception_yards,1.65
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,under,receptions,1.55
2023,under,reception_yards,1.55
2023,over,rush_yards,-1.0
2023,under,rush_yards,-1.0
2023,under,rush_yards,-1.0
2023,over,receptions,1.46
2023,under,receptions,1.45
2023,over,anytime_td,-1.0
2023,over,receptions,-1.0
2023,under,reception_yards,-1.0
2023,over,field_goals,1.3
2023,under,reception_yards,1.25
2023,over,rush_yards,-1.0
2023,over,rush_longest,-1.0
2023,under,reception_yards,-1.0
2023,over,pass_yards,-1.0
2023,over,rush_yards,-1.0
2023,over,reception_yards,1.2
2023,over,pass_interceptions,1.2
2023,under,pass_yards,1.2
2023,under,tackles_assists,1.2
2023,under,receptions,-1.0
2023,under,receptions,1.2
2023,over,reception_yards,1.18
2023,over,reception_yards,1.18
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,over,reception_yards,-1.0
2023,under,pass_interceptions,1.15
2023,under,tackles_assists,1.14
2023,under,tackles_assists,1.14
2023,over,reception_yards,1.12
2023,under,rush_attempts,1.12
2023,over,rush_attempts,-1.0
2023,over,rush_attempts,1.12
