snapshot_date,commence_time,home_team,away_team,market,player,selection,line,american_odds,book,model_probability,edge,calibrated_probability,calibrated_edge,gates_in_force,settled_at,outcome,actual,profit_units
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,moneyline,,away,,142,draftkings,0.3568856931382917,-0.056337447357576,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,lost,3.0,-1.0
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,moneyline,,home,,-170,draftkings,0.6431143068617092,0.0134846772320795,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,won,3.0,0.5882352941176471
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,spread,,away,3.0,100,draftkings,0.4402237479775605,-0.0597762520224395,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,push,-3.0,0.0
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,spread,,home,-3.0,-120,draftkings,0.5597762520224409,0.0143217065678954,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,push,3.0,0.0
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,total_points,,over,44.5,-108,draftkings,0.433191956502983,-0.0860388127277862,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,lost,23.0,-1.0
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,total_points,,under,44.5,-112,draftkings,0.5668080434970161,0.0385061567045632,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,won,23.0,0.8928571428571429
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,moneyline,,away,,155,betus,0.3568856931382917,-0.0352711696068062,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,lost,3.0,-1.0
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,moneyline,,home,,-180,betus,0.6431143068617092,0.0002571640045663,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,won,3.0,0.5555555555555556
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,spread,,away,3.0,100,betus,0.4402237479775605,-0.0597762520224395,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,push,-3.0,0.0
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,spread,,home,-3.0,-120,betus,0.5597762520224409,0.0143217065678954,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,push,3.0,0.0
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,total_points,,over,44.5,-110,betus,0.433191956502983,-0.0906175673065408,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,lost,23.0,-1.0
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,total_points,,under,44.5,-110,betus,0.5668080434970161,0.0429985196874922,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,won,23.0,0.9090909090909091
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,moneyline,,away,,152,fanduel,0.3568856931382917,-0.039939703687105,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,lost,3.0,-1.0
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,moneyline,,home,,-180,fanduel,0.6431143068617092,0.0002571640045663,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,won,3.0,0.5555555555555556
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,spread,,away,3.5,-118,fanduel,0.4593992635430008,-0.0818851401267238,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,won,-3.0,0.847457627118644
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,spread,,home,-3.5,-104,fanduel,0.5406007364570006,0.0307968148883731,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,lost,3.0,-1.0
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,total_points,,over,44.5,-110,fanduel,0.433191956502983,-0.0906175673065408,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,lost,23.0,-1.0
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,total_points,,under,44.5,-110,fanduel,0.5668080434970161,0.0429985196874922,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,won,23.0,0.9090909090909091
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,moneyline,,away,,150,fanatics,0.3568856931382917,-0.0431143068617082,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,lost,3.0,-1.0
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,moneyline,,home,,-180,fanatics,0.6431143068617092,0.0002571640045663,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,won,3.0,0.5555555555555556
2026-09-09,2026-09-10T00:20:00Z,Seattle Seahawks,New England Patriots,spread,,away,3.5,-120,fanatics,0.4593992635430008,-0.0860552819115445,,,No market is allowlisted for NFL. That is the correct state until a market has been measured against real prices and Cooper has signed a receipt.,2026-09-10T13:08:06.703672+00:00,won,-3.0,0.8333333333333334
